16,-73,3
21,-78,-2
20,-115,-5
28,-128,4
37,-124,-9
27,-120,-22
11,-109,-12
3,-79,6
4,-65,6
12,-48,0
11,-47,-2
7,-43,-1
2,-39,-2
-7,-32,-8
-12,-36,-10
-11,-36,-11
7,-50,-11
13,-59,-11
13,-59,-3
5,-90,-16
16,-98,-17
29,-106,11
27,-119,20
15,-118,16
21,-73,10
17,-53,5
6,-42,10
5,-42,14
5,-36,17
13,-36,21
15,-37,20
20,-49,20
21,-59,18
18,-73,7
23,-76,4
24,-74,5
28,-118,15
29,-128,17
30,-128,-16
18,-117,-20
12,-110,-7
-1,-82,8
-1,-64,8
9,-44,2
9,-45,-1
8,-46,-1
3,-40,-2
-2,-36,-4
-4,-33,-7
-1,-34,-6
3,-46,-3
5,-49,-3
10,-54,-1
7,-77,-3
10,-93,-12
23,-100,-2
16,-111,0
11,-113,2
22,-95,17
26,-76,21
18,-55,17
20,-43,14
17,-41,14
15,-40,19
15,-42,21
16,-50,22
15,-66,17
15,-72,14
20,-80,9
22,-81,5
22,-94,3
37,-128,10
35,-127,-5
14,-127,-40
5,-115,-35
2,-84,-14
23,-51,5
14,-40,5
-7,-31,0
-14,-31,-4
-5,-25,-4
-3,-23,-7
-12,-25,-9
-8,-53,-9
-8,-75,-12
-5,-73,-25
8,-76,-24
4,-106,-34
14,-123,-18
30,-125,0
9,-122,-13
-5,-112,-18
7,-75,-7
25,-51,-2
45,-42,-5
57,-27,-1
62,-24,2
52,-19,5
51,-17,18
48,-18,26
53,-40,-12
60,-44,-22
51,-53,-9
21,-74,-1
43,-88,-19
53,-119,-81
16,-110,-83
-15,-97,-77
7,-93,-33
0,-75,-9
-39,-34,-7
-13,-32,-4
22,-17,2
22,-12,-3
12,-9,-5
19,-17,-15
25,-25,-17
29,-50,-20
11,-60,-15
27,-67,-39
3,-80,-67
-13,-96,-93
33,-107,-54
35,-120,-42
19,-101,-46
27,-68,8
41,-56,28
13,-20,8
-8,-3,29
27,19,58
-13,21,108
20,-22,21
126,-69,-94
122,-68,-106
58,-90,-47
-2,-70,29
-3,-73,41
-5,-96,29
14,-103,18
40,-108,-18
30,-122,-14
27,-125,-20
13,-79,-23
20,-65,-11
16,-45,1
22,-12,30
